Cycles	Fluorescence	Sample	genotype
32	9.918444434	E4	S5
33	11.2551588	E4	S5
34	12.32548335	E4	S5
35	13.08083469	E4	S5
36	13.55367234	E4	S5
37	13.88110122	E4	S5
38	13.97339058	E4	S5
39	14.06999219	E4	S5
40	14.04258394	E4	S5
1	-0.037755384	B12	N
2	0.015787211	B12	N
3	-0.02076766	B12	N
4	-0.001813487	B12	N
5	0.007619143	B12	N
6	-0.000825207	B12	N
7	-0.010009403	B12	N
8	-0.001083272	B12	N
9	0.016900121	B12	N
10	-0.009897738	B12	N
11	0.008479783	B12	N
12	-0.009390663	B12	N
13	-0.008902227	B12	N
14	-8.04E-05	B12	N
15	0.037019919	B12	N
16	-0.00944819	B12	N
17	-0.010927286	B12	N
18	-0.002364953	B12	N
19	-0.001615981	B12	N
20	-0.001486945	B12	N
21	0.016395166	B12	N
22	-0.001259703	B12	N
23	0.03476719	B12	N
24	0.007194016	B12	N
25	0.008182148	B12	N
26	0.017262156	B12	N
27	-0.009952812	B12	N
28	-0.000874489	B12	N
29	-0.045390118	B12	N
30	0.018263577	B12	N
31	0.008567931	B12	N
32	-0.018303972	B12	N
33	0.008439915	B12	N
34	0.000231892	B12	N
35	0.018139341	B12	N
36	-0.008857491	B12	N
37	0.027585355	B12	N
38	-0.008586756	B12	N
39	-0.016556288	B12	N
40	0.009695015	B12	N
1	-0.02038947	V1	S5
2	0.02633446	V1	S5
3	0.01754981	V1	S5
4	-0.012851664	V1	S5
5	0.003990954	V1	S5
6	-0.035023559	V1	S5
7	-0.043317731	V1	S5
8	-0.019399787	V1	S5
9	-0.019623947	V1	S5
10	-0.002793257	V1	S5
11	-0.042550234	V1	S5
12	-0.025953309	V1	S5
13	-0.024953844	V1	S5
14	-0.041539196	V1	S5
15	-0.047906982	V1	S5
16	-0.030981415	V1	S5
17	-0.017816757	V1	S5
18	0.005364298	V1	S5
19	-0.009275801	V1	S5
20	-0.00097355	V1	S5
21	0.022701809	V1	S5
22	0.007543408	V1	S5
23	0.135933204	V1	S5
24	0.280122541	V1	S5
25	0.523931168	V1	S5
26	0.93483109	V1	S5
27	1.635750374	V1	S5
28	2.59444742	V1	S5
29	3.871281797	V1	S5
30	5.33101881	V1	S5
31	6.899069919	V1	S5
32	8.473238601	V1	S5
33	9.839353495	V1	S5
34	10.95111383	V1	S5
35	11.73067902	V1	S5
36	12.25705163	V1	S5
37	12.59685816	V1	S5
38	12.77549635	V1	S5
39	12.91612097	V1	S5
40	12.96226633	V1	S5
