Cycles	Fluorescence	Sample	genotype
28	0.262379847	B4	N
29	0.377654273	B4	N
30	0.322948893	B4	N
31	0.262888591	B4	N
32	0.425322069	B4	N
33	0.473480067	B4	N
34	0.480907262	B4	N
35	0.371240761	B4	N
36	0.567097928	B4	N
37	0.643205286	B4	N
38	1.057249118	B4	N
39	1.332106112	B4	N
40	2.287474512	B4	N
1	-0.156584138	B5	N
2	-0.103657038	B5	N
3	0.00166466	B5	N
4	-0.000830709	B5	N
5	0.052938362	B5	N
6	0.049884724	B5	N
7	0.000698758	B5	N
8	0.054602973	B5	N
9	0.004486607	B5	N
10	0.166352247	B5	N
11	0.062246132	B5	N
12	0.169585678	B5	N
13	0.326300615	B5	N
14	0.176892138	B5	N
15	0.282129633	B5	N
16	0.184219655	B5	N
17	0.397648694	B5	N
18	0.296217233	B5	N
19	0.190644132	B5	N
20	0.297843314	B5	N
21	0.407832022	B5	N
22	0.196402388	B5	N
23	0.195746343	B5	N
24	0.347996518	B5	N
25	0.30182847	B5	N
26	0.351119872	B5	N
27	0.361849808	B5	N
28	0.354675596	B5	N
29	0.364238822	B5	N
30	0.414912924	B5	N
31	0.355293839	B5	N
32	0.515266111	B5	N
33	0.614434837	B5	N
34	0.518458084	B5	N
35	0.619727421	B5	N
36	0.706028146	B5	N
37	1.254107306	B5	N
38	1.866897093	B5	N
39	2.661917881	B5	N
40	3.755436157	B5	N
1	-0.176234653	B6	S28
2	-0.072318613	B6	S28
3	-0.018765251	B6	S28
4	-0.021297972	B6	S28
5	0.032234275	B6	S28
6	0.080147561	B6	S28
7	-0.070815461	B6	S28
8	0.034091257	B6	S28
9	0.138013421	B6	S28
10	0.248058426	B6	S28
11	0.247254565	B6	S28
12	0.251523516	B6	S28
13	0.407257075	B6	S28
14	0.207939325	B6	S28
15	0.209659937	B6	S28
16	0.267246447	B6	S28
17	0.324735794	B6	S28
18	0.327415552	B6	S28
19	0.274094012	B6	S28
20	0.380883453	B6	S28
21	0.335401551	B6	S28
22	0.2285774	B6	S28
23	0.227890648	B6	S28
24	0.430601001	B6	S28
25	0.540352629	B6	S28
26	0.795779328	B6	S28
27	1.119116286	B6	S28
28	1.420845954	B6	S28
29	1.796636785	B6	S28
30	2.15786378	B6	S28
31	2.50972709	B6	S28
32	3.033827324	B6	S28
33	3.336726094	B6	S28
34	3.76596082	B6	S28
35	3.864361023	B6	S28
36	4.143256301	B6	S28
37	4.344262528	B6	S28
38	4.685453893	B6	S28
39	4.494586327	B6	S28
40	4.541732385	B6	S28
1	0.10036025	B7	N
2	-0.052041892	B7	N
3	0.053170826	B7	N
4	-0.00085476	B7	N
5	-0.049951924	B7	N
6	0.04967775	B7	N
7	-0.102154188	B7	N
8	-0.151104968	B7	N
9	-0.1496987	B7	N
10	-0.039576253	B7	N
11	-0.040395303	B7	N
12	-0.08807334	B7	N
13	-0.035041827	B7	N
14	-0.029467681	B7	N
15	-0.079585328	B7	N
16	-0.281358582	B7	N
17	-0.120775159	B7	N
18	-0.11856782	B7	N
19	-0.1203814	B7	N
20	-0.22126064	B7	N
21	-0.215991901	B7	N
22	-0.271216904	B7	N
23	-0.375891166	B7	N
24	-0.223624705	B7	N
25	-0.270342965	B7	N
26	-0.169012526	B7	N
27	-0.367361304	B7	N
28	-0.321495591	B7	N
29	-0.312819185	B7	N
30	-0.366062008	B7	N
31	-0.268246717	B7	N
32	-0.160704102	B7	N
33	-0.165001225	B7	N
34	-0.001122315	B7	N
35	0.308779162	B7	N
36	0.654825225	B7	N
37	1.516001827	B7	N
38	2.543166217	B7	N
39	3.44289726	B7	N
40	4.5863978	B7	N
1	-0.002306478	C1	S28
2	-0.05928158	C1	S28
3	-0.115540749	C1	S28
4	0.057772688	C1	S28
5	0.060171287	C1	S28
6	0.056878354	C1	S28
7	0.17664624	C1	S28
