Cycles	Fluorescence	Sample	genotype
24	-0.524695216	G1	N
25	-0.278611279	G1	N
26	-0.362538842	G1	N
27	-0.525465489	G1	N
28	-0.44461454	G1	N
29	-0.362660778	G1	N
30	-0.532481394	G1	N
31	-0.460233867	G1	N
32	-0.373599638	G1	N
33	-0.378715376	G1	N
34	-0.463255755	G1	N
35	-0.380533426	G1	N
36	-0.464554259	G1	N
37	-0.545764307	G1	N
38	-0.379119127	G1	N
39	-0.542956291	G1	N
40	-0.709345505	G1	N
1	-0.07141234	G3	N
2	-0.06862116	G3	N
3	-0.047140758	G3	N
4	0.041925807	G3	N
5	0.043571833	G3	N
6	0.030264278	G3	N
7	-0.003284951	G3	N
8	0.020159029	G3	N
9	0.102511283	G3	N
10	-0.029338268	G3	N
11	0.048410006	G3	N
12	0.128051549	G3	N
13	-0.030804814	G3	N
14	-0.094591039	G3	N
15	-0.01803223	G3	N
16	-0.099121179	G3	N
17	0.053495823	G3	N
18	-0.098991549	G3	N
19	-0.102258862	G3	N
20	0.058289191	G3	N
21	-0.249974211	G3	N
22	0.125003182	G3	N
23	-0.038433056	G3	N
24	-0.420872683	G3	N
25	-0.116625945	G3	N
26	-0.041274753	G3	N
27	-0.037642434	G3	N
28	-0.189915512	G3	N
29	-0.340993087	G3	N
30	-0.11680151	G3	N
31	-0.051457119	G3	N
32	-0.273336734	G3	N
33	-0.126475774	G3	N
34	-0.204653041	G3	N
35	-0.051292402	G3	N
36	0.022896567	G3	N
37	-0.280295441	G3	N
38	-0.048989207	G3	N
39	-0.047797073	G3	N
40	-0.12617625	G3	N
1	-0.201219919	G5	N
2	0.019829983	G5	N
3	-0.104497486	G5	N
4	-0.163930966	G5	N
5	0.056658377	G5	N
6	0.191940092	G5	N
7	0.160658441	G5	N
8	0.184003597	G5	N
9	0.190316336	G5	N
10	-0.011173168	G5	N
11	0.286268004	G5	N
12	0.289726535	G5	N
13	0.209297063	G5	N
14	-0.074520288	G5	N
15	0.221994119	G5	N
16	0.068988891	G5	N
17	0.217217159	G5	N
18	0.291293943	G5	N
19	0.362061803	G5	N
20	0.295864726	G5	N
21	0.070636495	G5	N
22	0.286409658	G5	N
23	-0.020569122	G5	N
24	-0.021927184	G5	N
25	0.12594639	G5	N
26	0.199785007	G5	N
27	0.056574171	G5	N
28	0.206116551	G5	N
29	0.209359637	G5	N
30	0.132180538	G5	N
31	0.344532979	G5	N
32	0.204632856	G5	N
33	0.347818723	G5	N
34	0.19853334	G5	N
35	0.495701072	G5	N
36	0.863856354	G5	N
37	1.457403054	G5	N
38	2.792655193	G5	N
39	4.570693367	G5	N
40	7.75016306	G5	N
1	0.340732011	H1	S24
2	0.014242805	H1	S24
3	-0.039512162	H1	S24
4	0.062077434	H1	S24
5	-0.101659666	H1	S24
6	0.064851589	H1	S24
7	-0.213120562	H1	S24
8	-0.098067671	H1	S24
9	-0.089671371	H1	S24
10	-0.3988024	H1	S24
11	-0.312681735	H1	S24
12	-0.140207506	H1	S24
13	-0.232647392	H1	S24
14	-0.384412173	H1	S24
15	-0.300130552	H1	S24
16	-0.222220887	H1	S24
17	-0.306382422	H1	S24
18	-0.474691209	H1	S24
19	-0.142254017	H1	S24
20	-0.047561546	H1	S24
21	-0.051633966	H1	S24
22	0.108080551	H1	S24
23	0.429448151	H1	S24
24	0.847577524	H1	S24
25	1.687853491	H1	S24
26	3.70468056	H1	S24
27	6.486862395	H1	S24
28	10.10531994	H1	S24
29	14.56975023	H1	S24
30	18.59741361	H1	S24
31	22.93747932	H1	S24
32	26.32689728	H1	S24
33	28.41024535	H1	S24
34	30.42068542	H1	S24
