temperature	df/dt	Sample	genotype		
91.79207436	0.15654358	A1	S20		
91.85123288	0.152452261	A1	S20		
91.91039139	0.154855854	A1	S20		
91.9695499	0.164407411	A1	S20		
92.02870841	0.177538756	A1	S20		
92.08786693	0.187675094	A1	S20		
92.14702544	0.192108582	A1	S20		
92.20618395	0.192584011	A1	S20		
92.26534247	0.191750768	A1	S20		
92.32450098	0.190101407	A1	S20		
92.38365949	0.186703802	A1	S20		
92.442818	0.181040854	A1	S20		
92.50197652	0.17183551	A1	S20		
92.56113503	0.161263509	A1	S20		
92.62029354	0.153729645	A1	S20		
92.67945205	0.150277737	A1	S20		
92.73861057	0.148650612	A1	S20		
92.79776908	0.148302635	A1	S20		
92.85692759	0.150830399	A1	S20		
92.91608611	0.15581385	A1	S20		
92.97524462	0.160752919	A1	S20		
93.03440313	0.164121984	A1	S20		
93.09356164	0.16717641	A1	S20		
93.15272016	0.167953337	A1	S20		
93.21187867	0.164182992	A1	S20		
93.27103718	0.158932889	A1	S20		
93.33019569	0.154548621	A1	S20		
93.38935421	0.150372556	A1	S20		
93.44851272	0.144818529	A1	S20		
93.50767123	0.138710905	A1	S20		
93.56682975	0.134267606	A1	S20		
93.62598826	0.131078425	A1	S20		
93.68514677	0.12770368	A1	S20		
93.74430528	0.124658113	A1	S20		
93.8034638	0.124560338	A1	S20		
93.86262231	0.128242943	A1	S20		
93.92178082	0.133382287	A1	S20		
93.98093933	0.138651578	A1	S20		
94.04009785	0.14403473	A1	S20		
94.09925636	0.149138086	A1	S20		
94.15841487	0.153063781	A1	S20		
94.21757339	0.154056923	A1	S20		
94.2767319	0.15017359	A1	S20		
94.33589041	0.140556689	A1	S20		
94.39504892	0.125870004	A1	S20		
94.45420744	0.108978775	A1	S20		
94.51336595	0.093453661	A1	S20		
94.57252446	0.081253738	A1	S20		
94.63168297	0.072342839	A1	S20		
94.69084149	0.06522381	A1	S20		
94.75	0.06522381	A1	S20		
64.52	-0.933337869	A6	S24		
64.57915851	-0.933337869	A6	S24		
64.63831703	-0.649528403	A6	S24		
64.69747554	-0.300254489	A6	S24		
64.75663405	0.076323059	A6	S24		
64.81579256	0.451339057	A6	S24		
64.87495108	0.77686937	A6	S24		
64.93410959	0.990417019	A6	S24		
64.9932681	1.073707313	A6	S24		
65.05242661	1.1156462	A6	S24		
65.11158513	1.204891788	A6	S24		
65.17074364	1.347761491	A6	S24		
65.22990215	1.523059715	A6	S24		
65.28906067	1.695487203	A6	S24		
65.34821918	1.834425279	A6	S24		
65.40737769	1.934219238	A6	S24		
65.4665362	2.007244932	A6	S24		
65.52569472	2.061394045	A6	S24		
65.58485323	2.100608608	A6	S24		
65.64401174	2.125839954	A6	S24		
65.70317025	2.139218113	A6	S24		
65.76232877	2.147451182	A6	S24		
65.82148728	2.158345865	A6	S24		
65.88064579	2.165270406	A6	S24		
65.93980431	2.153424351	A6	S24		
65.99896282	2.127055302	A6	S24		
66.05812133	2.098150758	A6	S24		
66.11727984	2.071541179	A6	S24		
66.17643836	2.056572281	A6	S24		
66.23559687	2.053471823	A6	S24		
66.29475538	2.053216293	A6	S24		
66.35391389	2.05232845	A6	S24		
66.41307241	2.042756415	A6	S24		
66.47223092	2.022792376	A6	S24		
66.53138943	2.002802705	A6	S24		
66.59054795	1.990595876	A6	S24		
66.64970646	1.988953624	A6	S24		
66.70886497	1.99925007	A6	S24		
66.76802348	2.015102015	A6	S24		
66.827182	2.02832379	A6	S24		
66.88634051	2.03945377	A6	S24		
66.94549902	2.044166598	A6	S24		
67.00465753	2.035463434	A6	S24		
67.06381605	2.025011275	A6	S24		
67.12297456	2.025887481	A6	S24		
67.18213307	2.020476356	A6	S24		
67.24129159	1.990783584	A6	S24		
67.3004501	1.952304336	A6	S24		
67.35960861	1.924542339	A6	S24		
67.41876712	1.911635939	A6	S24		
67.47792564	1.921920027	A6	S24		
67.53708415	1.953985264	A6	S24		
67.59624266	1.992791625	A6	S24		
67.65540117	2.021817471	A6	S24		
67.71455969	2.028099238	A6	S24		
67.7737182	2.020458746	A6	S24		
67.83287671	2.016384965	A6	S24		
67.89203523	2.02106982	A6	S24		
67.95119374	2.031508166	A6	S24		
68.01035225	2.047984101	A6	S24		
68.06951076	2.070246539	A6	S24		
68.12866928	2.099448248	A6	S24		
68.18782779	2.127626109	A6	S24		
68.2469863	2.134532144	A6	S24		
68.30614481	2.116174781	A6	S24		
68.36530333	2.089469902	A6	S24		
68.42446184	2.070380374	A6	S24		
68.48362035	2.060320469	A6	S24		
68.54277886	2.053308762	A6	S24		
68.60193738	2.05200979	A6	S24		
68.66109589	2.063763107	A6	S24		
68.7202544	2.085925929	A6	S24		
68.77941292	2.112100572	A6	S24		
68.83857143	2.136607175	A6	S24		
68.89772994	2.145467187	A6	S24		
68.95688845	2.13380602	A6	S24		
69.01604697	2.120124745	A6	S24		
69.07520548	2.11994556	A6	S24		
69.13436399	2.133592585	A6	S24		
