Cycles	Fluorescence	Sample 	genotype
10	0.059271536	C3	S2
11	0.009679595	C3	S2
12	-0.027469177	C3	S2
13	0.024840706	C3	S2
14	-0.068516436	C3	S2
15	-0.021256101	C3	S2
16	-0.070228161	C3	S2
17	-0.071034395	C3	S2
18	0.017822214	C3	S2
19	0.025792668	C3	S2
20	0.18893727	C3	S2
21	0.335764843	C3	S2
22	0.425635711	C3	S2
23	1.069423871	C3	S2
24	1.78372251	C3	S2
25	3.167126183	C3	S2
26	4.902671131	C3	S2
27	6.752010507	C3	S2
28	8.616693665	C3	S2
29	10.06313733	C3	S2
30	10.83133406	C3	S2
31	11.23933944	C3	S2
32	11.40370579	C3	S2
33	11.52732726	C3	S2
34	11.64369668	C3	S2
35	11.4438555	C3	S2
36	11.58705156	C3	S2
37	11.67996763	C3	S2
38	11.5944644	C3	S2
39	11.56675389	C3	S2
40	11.57816484	C3	S2
1	-0.093334997	C4	N
2	-0.019881152	C4	N
3	0.050176942	C4	N
4	0.018419663	C4	N
5	-0.033812757	C4	N
6	-0.014902697	C4	N
7	0.050908417	C4	N
8	0.024085394	C4	N
9	0.041597857	C4	N
10	-0.021320902	C4	N
11	-0.021354501	C4	N
12	-0.00840102	C4	N
13	0.042596901	C4	N
14	0.000809338	C4	N
15	-0.098550781	C4	N
16	-0.146044715	C4	N
17	-0.098516694	C4	N
18	-0.157592631	C4	N
19	-0.052975267	C4	N
20	-0.087707838	C4	N
21	-0.1388755	C4	N
22	-0.051261892	C4	N
23	-0.054202943	C4	N
24	0.007539872	C4	N
25	-0.194705422	C4	N
26	-0.102369813	C4	N
27	-0.051339928	C4	N
28	-0.09234131	C4	N
29	-0.044426904	C4	N
30	-0.086921084	C4	N
31	-0.051454599	C4	N
32	-0.046876525	C4	N
33	0.057231105	C4	N
34	0.143694782	C4	N
35	0.385462182	C4	N
36	0.673518139	C4	N
37	1.299574761	C4	N
38	1.885642512	C4	N
39	2.40533605	C4	N
40	2.893825677	C4	N
1	0.070145155	C5	N
2	-0.00107993	C5	N
3	0.020867792	C5	N
4	-0.010691712	C5	N
5	0.033357704	C5	N
6	-0.042453854	C5	N
7	0.069221444	C5	N
8	0.04342979	C5	N
9	0.060256036	C5	N
10	-0.001117426	C5	N
11	0.046182625	C5	N
12	-0.083437241	C5	N
13	0.061354683	C5	N
14	0.020277938	C5	N
15	-0.124568207	C5	N
16	0.018647765	C5	N
17	-0.029571072	C5	N
18	-0.134717108	C5	N
19	-0.032207134	C5	N
20	-0.066498067	C5	N
21	-0.021554162	C5	N
22	-0.077653119	C5	N
23	-0.080167602	C5	N
24	-0.162209429	C5	N
25	-0.122335455	C5	N
26	-0.173081575	C5	N
27	-0.074882093	C5	N
28	-0.066965229	C5	N
29	-0.066892602	C5	N
30	-0.155962709	C5	N
31	-0.072945192	C5	N
32	-0.068533753	C5	N
33	0.033479226	C5	N
34	0.166149358	C5	N
35	0.308401713	C5	N
36	0.591069806	C5	N
37	1.06313462	C5	N
38	1.542946636	C5	N
39	2.006288012	C5	N
40	2.342991307	C5	N
1	-0.010424378	C6	N
2	0.162897443	C6	N
3	0.038758674	C6	N
4	0.021013084	C6	N
5	-0.137962862	C6	N
6	-0.08470634	C6	N
7	-0.240055184	C6	N
8	-0.314493689	C6	N
9	-0.282095711	C6	N
10	-0.395871884	C6	N
11	-0.677508267	C6	N
12	-0.619751397	C6	N
13	-0.795802621	C6	N
14	-0.861281688	C6	N
15	-1.061951509	C6	N
16	-1.105117769	C6	N
17	-1.250427996	C6	N
18	-1.298487335	C6	N
19	-1.262472336	C6	N
20	-1.296574704	C6	N
21	-1.355841996	C6	N
22	-1.537073411	C6	N
23	-1.643143577	C6	N
24	-1.678445889	C6	N
25	-1.714212498	C6	N
26	-1.777378087	C6	N
27	-1.85698968	C6	N
28	-1.870102072	C6	N
29	-1.918870025	C6	N
30	-1.987658492	C6	N
31	-2.184769315	C6	N
32	-2.213478855	C6	N
33	-2.135948856	C6	N
34	-2.084377755	C6	N
35	-2.320547952	C6	N
36	-2.139763959	C6	N
37	-2.147788961	C6	N
38	-2.12890748	C6	N
39	-2.163851436	C6	N
40	-2.054361093	C6	N
1	0.02775994	D1	N
2	-0.048523421	D1	N
3	-0.017688994	D1	N
4	-0.057524689	D1	N
5	-0.006332501	D1	N
6	0.130069605	D1	N
7	0.091760638	D1	N
8	-0.148613448	D1	N
9	0.029180899	D1	N
10	0.124134712	D1	N
11	0.016007033	D1	N
12	-0.135125324	D1	N
13	0.029945227	D1	N
14	0.035809948	D1	N
15	-0.075282627	D1	N
16	-0.020126961	D1	N
17	-0.020905053	D1	N
18	0.131714583	D1	N
19	-0.023447766	D1	N
20	-0.011231539	D1	N
21	0.040671156	D1	N
22	-0.076342841	D1	N
23	-0.07889799	D1	N
24	-0.12160195	D1	N
25	-0.129179919	D1	N
26	-0.241581386	D1	N
27	-0.076371802	D1	N
28	-0.178517429	D1	N
29	-0.233461553	D1	N
30	-0.173742785	D1	N
31	-0.184923662	D1	N
32	-0.235565493	D1	N
33	-0.120452737	D1	N
34	-0.129249587	D1	N
35	0.03348741	D1	N
36	-0.131249453	D1	N
37	-0.187591181	D1	N
38	-0.075324949	D1	N
39	-0.191451186	D1	N
40	-0.24282972	D1	N
1	-0.101200314	D2	S2
2	-0.073855225	D2	S2
3	-0.04947061	D2	S2
4	0.019520171	D2	S2
5	0.067372673	D2	S2
6	0.036432991	D2	S2
7	0.106548927	D2	S2
8	-0.075940559	D2	S2
9	-0.212968203	D2	S2
10	-0.021856824	D2	S2
11	-0.021753882	D2	S2
12	-0.163106103	D2	S2
13	0.046074061	D2	S2
14	0.001257001	D2	S2
15	0.050081191	D2	S2
16	-0.000650457	D2	S2
17	-0.156577129	D2	S2
18	0.089990482	D2	S2
19	-0.004533978	D2	S2
20	0.113341114	D2	S2
21	0.213755639	D2	S2
22	0.668533661	D2	S2
23	0.92304425	D2	S2
24	1.974661374	D2	S2
25	3.098937984	D2	S2
26	4.692704046	D2	S2
27	6.559113743	D2	S2
28	7.819728424	D2	S2
29	9.164849511	D2	S2
30	9.804855537	D2	S2
31	9.972727934	D2	S2
32	10.40055339	D2	S2
33	10.37152505	D2	S2
34	10.28819452	D2	S2
35	10.54642162	D2	S2
36	10.28184782	D2	S2
37	10.37895973	D2	S2
38	10.54776657	D2	S2
39	10.3662209	D2	S2
40	10.42899965	D2	S2
1	-0.041983287	D3	S2
2	-0.118615562	D3	S2
3	0.001461432	D3	S2
4	-0.030059589	D3	S2
5	0.065349967	D3	S2
6	0.081863752	D3	S2
7	0.002202519	D3	S2
8	-0.027222776	D3	S2
9	-0.156758396	D3	S2
10	0.074535535	D3	S2
11	0.074564845	D3	S2
12	-0.059548832	D3	S2
13	-0.007056983	D3	S2
14	-0.049455583	D3	S2
15	-0.151801367	D3	S2
16	-0.051573304	D3	S2
17	-0.052418445	D3	S2
18	-0.015179897	D3	S2
19	-0.005991486	D3	S2
20	0.059005853	D3	S2
21	0.30430553	D3	S2
22	0.491750875	D3	S2
23	1.033535507	D3	S2
24	2.144867016	D3	S2
25	3.37210964	D3	S2
26	4.852230693	D3	S2
27	6.545980839	D3	S2
28	8.105926576	D3	S2
29	9.099238157	D3	S2
30	9.665031334	D3	S2
31	9.873854938	D3	S2
32	10.08672672	D3	S2
33	10.10953051	D3	S2
34	10.12747773	D3	S2
35	10.12730388	D3	S2
36	10.02211092	D3	S2
37	9.916749642	D3	S2
38	10.17899163	D3	S2
39	10.10299345	D3	S2
40	10.0148797	D3	S2
1	-0.696556552	D4	N
2	-0.356687185	D4	N
3	-0.218669325	D4	N
4	0.057883453	D4	N
5	0.049898717	D4	N
6	0.467574341	D4	N
7	0.410132536	D4	N
8	0.255445569	D4	N
9	0.486023631	D4	N
10	0.50138189	D4	N
11	0.645375556	D4	N
12	0.385752379	D4	N
13	0.488071413	D4	N
14	0.550772892	D4	N
15	0.496464532	D4	N
16	0.594871805	D4	N
17	0.448389888	D4	N
18	0.664227261	D4	N
19	0.490327227	D4	N
20	0.376302028	D4	N
21	0.418342805	D4	N
22	0.349795772	D4	N
23	0.295368104	D4	N
24	0.228545206	D4	N
25	0.210087899	D4	N
26	0.249545546	D4	N
27	0.208417365	D4	N
28	0.225648755	D4	N
29	-0.016215697	D4	N
30	0.093881695	D4	N
31	0.114306247	D4	N
32	-0.020691423	D4	N
33	0.13981938	D4	N
34	0.069643756	D4	N
35	0.214120696	D4	N
36	0.113434407	D4	N
37	0.060799439	D4	N
38	0.504327724	D4	N
39	0.822604877	D4	N
40	1.36100405	D4	N
1	0.69841606	D5	N
2	0.38671235	D5	N
3	-0.130231809	D5	N
4	-0.206517311	D5	N
5	-0.136820097	D5	N
6	0.086856867	D5	N
7	-0.218817255	D5	N
8	-0.305882745	D5	N
9	-0.092505776	D5	N
10	-0.381517145	D5	N
11	-0.240109182	D5	N
12	-0.341293687	D5	N
13	-0.275320313	D5	N
14	-0.373359778	D5	N
15	-0.486692938	D5	N
16	-0.622530352	D5	N
17	-0.770535063	D5	N
18	-0.702982169	D5	N
19	-0.741804702	D5	N
20	-0.885951748	D5	N
21	-0.809678521	D5	N
22	-1.060506805	D5	N
23	-1.126101927	D5	N
24	-1.081649234	D5	N
25	-1.231310137	D5	N
26	-1.444886518	D5	N
27	-1.278711093	D5	N
28	-1.318614599	D5	N
29	-1.460742044	D5	N
30	-1.513257537	D5	N
31	-1.692615985	D5	N
32	-1.520296149	D5	N
33	-1.472030245	D5	N
34	-1.775584859	D5	N
35	-1.586393519	D5	N
36	-1.503907756	D5	N
37	-1.516370592	D5	N
38	-1.391922672	D5	N
39	-1.54149553	D5	N
40	-1.517714485	D5	N
1	-0.199823919	E1	N
2	0.051375774	E1	N
3	-0.029618526	E1	N
4	-0.013414689	E1	N
5	0.03758424	E1	N
6	-0.045926799	E1	N
7	-0.083325011	E1	N
8	-0.000483271	E1	N
9	-0.037780196	E1	N
10	-0.052150358	E1	N
11	-0.160595442	E1	N
12	0.014865322	E1	N
13	0.017556218	E1	N
14	-0.084994855	E1	N
15	-0.08770418	E1	N
16	-0.141278912	E1	N
17	-0.087671528	E1	N
18	0.010248745	E1	N
19	-0.035970692	E1	N
20	0.032116971	E1	N
21	-0.079780373	E1	N
22	-0.088842084	E1	N
23	-0.037302465	E1	N
24	-0.024186616	E1	N
25	-0.19634247	E1	N
26	-0.146163258	E1	N
27	-0.089196768	E1	N
28	-0.081991956	E1	N
29	-0.137263261	E1	N
30	-0.131559818	E1	N
31	-0.253124969	E1	N
32	-0.030716578	E1	N
33	0.030986273	E1	N
34	-0.033551104	E1	N
35	0.456914283	E1	N
36	0.673029277	E1	N
37	1.27006413	E1	N
38	1.766289928	E1	N
39	2.462797273	E1	N
40	2.685984994	E1	N
1	-0.105205662	E2	S2
2	0.08074194	E2	S2
3	-0.100982359	E2	S2
4	-0.085388523	E2	S2
5	0.067115929	E2	S2
6	0.038513013	E2	S2
7	0.003604278	E2	S2
8	-0.021940587	E2	S2
9	0.046627963	E2	S2
10	0.187276786	E2	S2
11	0.032370913	E2	S2
12	-0.006964736	E2	S2
13	-0.004392904	E2	S2
14	-0.153732752	E2	S2
15	-0.052683416	E2	S2
16	-0.10371188	E2	S2
17	-0.104441646	E2	S2
18	-0.063242301	E2	S2
19	-0.003485031	E2	S2
20	0.009732963	E2	S2
21	0.162822784	E2	S2
22	0.516342874	E2	S2
23	0.979483967	E2	S2
