temperature	df/dt	Sample	genotype
94.07365949	0.052083888	A1	S23
94.13332681	0.051424519	A1	S23
94.19299413	0.050336109	A1	S23
94.25266145	0.048737664	A1	S23
94.31232877	0.047332257	A1	S23
94.37199609	0.046582114	A1	S23
94.43166341	0.046214477	A1	S23
94.49133072	0.046054132	A1	S23
94.55099804	0.046636318	A1	S23
94.61066536	0.048468461	A1	S23
94.67033268	0.05095107	A1	S23
94.73	0.05095107	A1	S23
64.24	-0.050183032	A3	S28
64.29966732	-0.050183032	A3	S28
64.35933464	-0.070569306	A3	S28
64.41900196	-0.100853018	A3	S28
64.47866928	-0.110579529	A3	S28
64.53833659	-0.083853923	A3	S28
64.59800391	-0.040360747	A3	S28
64.65767123	-0.004996764	A3	S28
64.71733855	0.011884684	A3	S28
64.77700587	0.030398712	A3	S28
64.83667319	0.067879728	A3	S28
64.89634051	0.117433002	A3	S28
64.95600783	0.168953697	A3	S28
65.01567515	0.214462857	A3	S28
65.07534247	0.253135843	A3	S28
65.13500978	0.289150042	A3	S28
65.1946771	0.32487028	A3	S28
65.25434442	0.355592749	A3	S28
65.31401174	0.376540455	A3	S28
65.37367906	0.390432666	A3	S28
65.43334638	0.404725948	A3	S28
65.4930137	0.423019578	A3	S28
65.55268102	0.441214412	A3	S28
65.61234834	0.453017105	A3	S28
65.67201566	0.453641265	A3	S28
65.73168297	0.442852733	A3	S28
65.79135029	0.424514146	A3	S28
65.85101761	0.407908271	A3	S28
65.91068493	0.402275677	A3	S28
65.97035225	0.40960716	A3	S28
66.03001957	0.427576642	A3	S28
66.08968689	0.452739842	A3	S28
66.14935421	0.482982382	A3	S28
66.20902153	0.513745997	A3	S28
66.26868885	0.540264989	A3	S28
66.32835616	0.560192615	A3	S28
66.38802348	0.569746782	A3	S28
66.4476908	0.568313805	A3	S28
66.50735812	0.560199572	A3	S28
66.56702544	0.549273478	A3	S28
66.62669276	0.539060518	A3	S28
66.68636008	0.534505121	A3	S28
66.7460274	0.539324695	A3	S28
66.80569472	0.553786826	A3	S28
66.86536204	0.57593425	A3	S28
66.92502935	0.605045608	A3	S28
66.98469667	0.639629536	A3	S28
67.04436399	0.676559118	A3	S28
67.10403131	0.714670633	A3	S28
67.16369863	0.754371492	A3	S28
67.22336595	0.797963618	A3	S28
67.28303327	0.849384796	A3	S28
67.34270059	0.908862681	A3	S28
67.40236791	0.972283021	A3	S28
67.46203523	1.03716238	A3	S28
67.52170254	1.101792636	A3	S28
67.58136986	1.166295656	A3	S28
67.64103718	1.233761061	A3	S28
67.7007045	1.308264054	A3	S28
67.76037182	1.389443102	A3	S28
67.82003914	1.476112064	A3	S28
67.87970646	1.571751259	A3	S28
67.93937378	1.67593559	A3	S28
67.9990411	1.786109029	A3	S28
68.05870841	1.903072052	A3	S28
68.11837573	2.028367997	A3	S28
68.17804305	2.158210732	A3	S28
68.23771037	2.288114028	A3	S28
68.29737769	2.416499704	A3	S28
68.35704501	2.542130455	A3	S28
68.41671233	2.664983661	A3	S28
68.47637965	2.784889391	A3	S28
68.53604697	2.902395238	A3	S28
68.59571429	3.025728891	A3	S28
68.6553816	3.165334597	A3	S28
68.71504892	3.322323488	A3	S28
68.77471624	3.493794819	A3	S28
68.83438356	3.679823206	A3	S28
68.89405088	3.88044355	A3	S28
68.9537182	4.092024325	A3	S28
69.01338552	4.307199859	A3	S28
69.07305284	4.52275319	A3	S28
69.13272016	4.741160837	A3	S28
69.19238748	4.958258855	A3	S28
69.25205479	5.157945876	A3	S28
69.31172211	5.327094475	A3	S28
69.37138943	5.46565055	A3	S28
69.43105675	5.578086292	A3	S28
69.49072407	5.682607363	A3	S28
69.55039139	5.806894263	A3	S28
69.61005871	5.959323543	A3	S28
69.66972603	6.139984203	A3	S28
69.72939335	6.3468381	A3	S28
69.78906067	6.569893295	A3	S28
69.84872798	6.810842656	A3	S28
69.9083953	7.069242584	A3	S28
69.96806262	7.320470699	A3	S28
70.02772994	7.533902309	A3	S28
70.08739726	7.70129961	A3	S28
70.14706458	7.82645634	A3	S28
70.2067319	7.918505201	A3	S28
70.26639922	7.989298235	A3	S28
70.32606654	8.035407467	A3	S28
70.38573386	8.052810302	A3	S28
70.44540117	8.048394529	A3	S28
70.50506849	8.036263621	A3	S28
70.56473581	8.038649236	A3	S28
70.62440313	8.070478704	A3	S28
70.68407045	8.118484994	A3	S28
70.74373777	8.161359666	A3	S28
70.80340509	8.198598714	A3	S28
70.86307241	8.227482247	A3	S28
70.92273973	8.219943369	A3	S28
70.98240705	8.156085332	A3	S28
71.04207436	8.04482743	A3	S28
71.10174168	7.892721378	A3	S28
71.161409	7.702715934	A3	S28
71.22107632	7.486991932	A3	S28
71.28074364	7.244903276	A3	S28
71.34041096	6.971874636	A3	S28
71.40007828	6.685141243	A3	S28
71.4597456	6.40953059	A3	S28
71.51941292	6.155123982	A3	S28
71.57908023	5.922752025	A3	S28
71.63874755	5.703306792	A3	S28
71.69841487	5.486264541	A3	S28
71.75808219	5.275183302	A3	S28
71.81774951	5.071568487	A3	S28
71.87741683	4.868681085	A3	S28
71.93708415	4.655867651	A3	S28
71.99675147	4.419845636	A3	S28
72.05641879	4.157697865	A3	S28
72.11608611	3.883739946	A3	S28
72.17575342	3.613814463	A3	S28
72.23542074	3.355471756	A3	S28
72.29508806	3.110099001	A3	S28
72.35475538	2.875672981	A3	S28
72.4144227	2.657226952	A3	S28
72.47409002	2.465720391	A3	S28
72.53375734	2.303233627	A3	S28
72.59342466	2.162035685	A3	S28
72.65309198	2.03586321	A3	S28
72.7127593	1.921073011	A3	S28
72.77242661	1.811532672	A3	S28
72.83209393	1.701879552	A3	S28
72.89176125	1.587557947	A3	S28
72.95142857	1.468318605	A3	S28
73.01109589	1.351198829	A3	S28
73.07076321	1.240560508	A3	S28
73.13043053	1.13743371	A3	S28
73.19009785	1.043792544	A3	S28
73.24976517	0.962326201	A3	S28
73.30943249	0.893127024	A3	S28
73.3690998	0.83398677	A3	S28
73.42876712	0.784358548	A3	S28
73.48843444	0.742763301	A3	S28
73.54810176	0.705722787	A3	S28
73.60776908	0.671108284	A3	S28
73.6674364	0.637825808	A3	S28
73.72710372	0.604334095	A3	S28
73.78677104	0.569402342	A3	S28
73.84643836	0.533502289	A3	S28
73.90610568	0.497829899	A3	S28
73.96577299	0.463025276	A3	S28
74.02544031	0.429741138	A3	S28
74.08510763	0.398980628	A3	S28
74.14477495	0.371821782	A3	S28
74.20444227	0.34909948	A3	S28
74.26410959	0.329701584	A3	S28
74.32377691	0.313049791	A3	S28
74.38344423	0.300635922	A3	S28
74.44311155	0.292449157	A3	S28
74.50277886	0.286848023	A3	S28
74.56244618	0.2819529	A3	S28
74.6221135	0.276507108	A3	S28
74.68178082	0.269345107	A3	S28
74.74144814	0.259238491	A3	S28
74.80111546	0.247065189	A3	S28
74.86078278	0.235610707	A3	S28
74.9204501	0.226492399	A3	S28
74.98011742	0.219631661	A3	S28
75.03978474	0.213409191	A3	S28
75.09945205	0.206751329	A3	S28
75.15911937	0.201713277	A3	S28
75.21878669	0.199654715	A3	S28
75.27845401	0.199465328	A3	S28
75.33812133	0.200043987	A3	S28
75.39778865	0.20015874	A3	S28
75.45745597	0.19844278	A3	S28
75.51712329	0.194946786	A3	S28
75.57679061	0.191285545	A3	S28
75.63645793	0.188105397	A3	S28
75.69612524	0.185264119	A3	S28
75.75579256	0.182533195	A3	S28
75.81545988	0.179186036	A3	S28
75.8751272	0.175277243	A3	S28
75.93479452	0.170949737	A3	S28
75.99446184	0.167395761	A3	S28
76.05412916	0.166141218	A3	S28
76.11379648	0.166196574	A3	S28
76.1734638	0.166959477	A3	S28
76.23313112	0.169341814	A3	S28
76.29279843	0.172670795	A3	S28
76.35246575	0.174630149	A3	S28
76.41213307	0.174756588	A3	S28
76.47180039	0.174355608	A3	S28
76.53146771	0.173183025	A3	S28
76.59113503	0.170582412	A3	S28
76.65080235	0.168566386	A3	S28
76.71046967	0.168960379	A3	S28
76.77013699	0.169963473	A3	S28
76.82980431	0.169813756	A3	S28
76.88947162	0.16974544	A3	S28
76.94913894	0.171192494	A3	S28
77.00880626	0.173201346	A3	S28
77.06847358	0.173315945	A3	S28
77.1281409	0.170125809	A3	S28
77.18780822	0.165053499	A3	S28
77.24747554	0.160069151	A3	S28
77.30714286	0.155622883	A3	S28
77.36681018	0.151666439	A3	S28
77.4264775	0.148741219	A3	S28
77.48614481	0.147519971	A3	S28
77.54581213	0.148133598	A3	S28
77.60547945	0.149955818	A3	S28
77.66514677	0.152172537	A3	S28
77.72481409	0.154051304	A3	S28
77.78448141	0.154015638	A3	S28
77.84414873	0.15194435	A3	S28
77.90381605	0.149584297	A3	S28
77.96348337	0.147497781	A3	S28
78.02315068	0.146591382	A3	S28
78.082818	0.147995359	A3	S28
78.14248532	0.150974906	A3	S28
78.20215264	0.154421366	A3	S28
78.26181996	0.158288098	A3	S28
78.32148728	0.162477854	A3	S28
78.3811546	0.165486426	A3	S28
78.44082192	0.165940995	A3	S28
78.50048924	0.163645396	A3	S28
78.56015656	0.160255225	A3	S28
78.61982387	0.158067045	A3	S28
78.67949119	0.157150434	A3	S28
78.73915851	0.156983005	A3	S28
78.79882583	0.157857894	A3	S28
78.85849315	0.158022016	A3	S28
78.91816047	0.156529295	A3	S28
78.97782779	0.155240247	A3	S28
79.03749511	0.155456703	A3	S28
79.09716243	0.157324967	A3	S28
79.15682975	0.159948198	A3	S28
79.21649706	0.162345842	A3	S28
79.27616438	0.163579418	A3	S28
79.3358317	0.163145856	A3	S28
79.39549902	0.162070914	A3	S28
79.45516634	0.162220254	A3	S28
79.51483366	0.164397328	A3	S28
79.57450098	0.167439937	A3	S28
79.6341683	0.169301359	A3	S28
79.69383562	0.168685639	A3	S28
79.75350294	0.166181092	A3	S28
