temperature	df/dt	Sample	genotype
71.53418787	9.65334611	C3	S2
71.59389432	9.621091804	C3	S2
71.65360078	9.575647837	C3	S2
71.71330724	9.509180429	C3	S2
71.7730137	9.408084283	C3	S2
71.83272016	9.275004055	C3	S2
71.89242661	9.121662543	C3	S2
71.95213307	8.947118605	C3	S2
72.01183953	8.738583917	C3	S2
72.07154599	8.486647155	C3	S2
72.13125245	8.17761085	C3	S2
72.1909589	7.821684454	C3	S2
72.25066536	7.445209848	C3	S2
72.31037182	7.071272121	C3	S2
72.37007828	6.713908106	C3	S2
72.42978474	6.379170502	C3	S2
72.48949119	6.072267742	C3	S2
72.54919765	5.787861688	C3	S2
72.60890411	5.51549804	C3	S2
72.66861057	5.247194978	C3	S2
72.72831703	4.97661978	C3	S2
72.78802348	4.706004851	C3	S2
72.84772994	4.450009123	C3	S2
72.9074364	4.208782929	C3	S2
72.96714286	3.969777492	C3	S2
73.02684932	3.729877687	C3	S2
73.08655577	3.494883878	C3	S2
73.14626223	3.266416073	C3	S2
73.20596869	3.043739582	C3	S2
73.26567515	2.827583141	C3	S2
73.3253816	2.618471902	C3	S2
73.38508806	2.422277164	C3	S2
73.44479452	2.245381056	C3	S2
73.50450098	2.090998725	C3	S2
73.56420744	1.958234176	C3	S2
73.62391389	1.839626574	C3	S2
73.68362035	1.726882319	C3	S2
73.74332681	1.61571644	C3	S2
73.80303327	1.505212049	C3	S2
73.86273973	1.395190163	C3	S2
73.92244618	1.284962071	C3	S2
73.98215264	1.176426135	C3	S2
74.0418591	1.075255119	C3	S2
74.10156556	0.984469905	C3	S2
74.16127202	0.90409767	C3	S2
74.22097847	0.834343402	C3	S2
74.28068493	0.774360392	C3	S2
74.34039139	0.72255201	C3	S2
74.40009785	0.678302589	C3	S2
74.45980431	0.640728858	C3	S2
74.51951076	0.607709369	C3	S2
74.57921722	0.575873638	C3	S2
74.63892368	0.542976126	C3	S2
74.69863014	0.509273035	C3	S2
74.75833659	0.476833799	C3	S2
74.81804305	0.447460319	C3	S2
74.87774951	0.419936809	C3	S2
74.93745597	0.392619201	C3	S2
74.99716243	0.366645405	C3	S2
75.05686888	0.343940901	C3	S2
75.11657534	0.326148659	C3	S2
75.1762818	0.314291511	C3	S2
75.23598826	0.307228282	C3	S2
75.29569472	0.302279077	C3	S2
75.35540117	0.296599004	C3	S2
75.41510763	0.289762725	C3	S2
75.47481409	0.284603263	C3	S2
75.53452055	0.281772937	C3	S2
75.59422701	0.277761883	C3	S2
75.65393346	0.270233774	C3	S2
75.71363992	0.260766276	C3	S2
75.77334638	0.250804198	C3	S2
75.83305284	0.240197203	C3	S2
75.8927593	0.230618553	C3	S2
75.95246575	0.223913471	C3	S2
76.01217221	0.219958011	C3	S2
76.07187867	0.217808017	C3	S2
76.13158513	0.216410808	C3	S2
76.19129159	0.214276607	C3	S2
76.25099804	0.209705487	C3	S2
76.3107045	0.203451318	C3	S2
76.37041096	0.198634653	C3	S2
76.43011742	0.196588814	C3	S2
76.48982387	0.196285705	C3	S2
76.54953033	0.195314135	C3	S2
76.60923679	0.191432719	C3	S2
76.66894325	0.18465146	C3	S2
76.72864971	0.175824543	C3	S2
76.78835616	0.167524361	C3	S2
76.84806262	0.162019737	C3	S2
76.90776908	0.158481336	C3	S2
76.96747554	0.156067883	C3	S2
77.027182	0.154925563	C3	S2
77.08688845	0.155104299	C3	S2
77.14659491	0.15599682	C3	S2
77.20630137	0.156272007	C3	S2
77.26600783	0.155690066	C3	S2
77.32571429	0.154996576	C3	S2
77.38542074	0.153901757	C3	S2
77.4451272	0.151703506	C3	S2
77.50483366	0.148378138	C3	S2
77.56454012	0.144095837	C3	S2
77.62424658	0.1393709	C3	S2
77.68395303	0.13576996	C3	S2
77.74365949	0.134441098	C3	S2
77.80336595	0.134080405	C3	S2
77.86307241	0.132483207	C3	S2
77.92277886	0.129955448	C3	S2
77.98248532	0.128056853	C3	S2
78.04219178	0.127259946	C3	S2
78.10189824	0.128246758	C3	S2
78.1616047	0.131624222	C3	S2
78.22131115	0.136969021	C3	S2
78.28101761	0.1428545	C3	S2
78.34072407	0.145981323	C3	S2
78.40043053	0.14329727	C3	S2
78.46013699	0.135184551	C3	S2
78.51984344	0.125544577	C3	S2
78.5795499	0.118139954	C3	S2
78.63925636	0.113264073	C3	S2
78.69896282	0.109969587	C3	S2
78.75866928	0.107517618	C3	S2
78.81837573	0.105116966	C3	S2
78.87808219	0.103099308	C3	S2
78.93778865	0.103226034	C3	S2
78.99749511	0.106499985	C3	S2
79.05720157	0.112133816	C3	S2
79.11690802	0.118639207	C3	S2
79.17661448	0.124868415	C3	S2
79.23632094	0.130007694	C3	S2
79.2960274	0.13302702	C3	S2
79.35573386	0.13399303	C3	S2
79.41544031	0.133392182	C3	S2
79.47514677	0.131369883	C3	S2
79.53485323	0.12851228	C3	S2
79.59455969	0.125304539	C3	S2
79.65426614	0.122623853	C3	S2
79.7139726	0.120120901	C3	S2
79.77367906	0.116657631	C3	S2
79.83338552	0.113384307	C3	S2
