Cycles	Fluorescence	Sample	genotype
37	-0.176747512	C4	N
38	-0.115731094	C4	N
39	-0.110785883	C4	N
40	-0.180109559	C4	N
1	0.009514962	C5	N
2	-0.125847275	C5	N
3	-0.069034569	C5	N
4	0.06866732	C5	N
5	0.125976939	C5	N
6	0.000237585	C5	N
7	-0.066495935	C5	N
8	0.004391642	C5	N
9	-0.06569118	C5	N
10	-0.074451564	C5	N
11	-0.003125326	C5	N
12	-0.066469771	C5	N
13	-0.003111879	C5	N
14	-0.129757095	C5	N
15	-0.063194723	C5	N
16	0.006865924	C5	N
17	0.063528834	C5	N
18	-0.063234124	C5	N
19	-0.001589275	C5	N
20	-0.061647201	C5	N
21	-0.184818891	C5	N
22	-0.137381776	C5	N
23	-0.057057287	C5	N
24	-0.117682306	C5	N
25	0.049788342	C5	N
26	-0.024102263	C5	N
27	0.039276164	C5	N
28	-0.094813152	C5	N
29	-0.097453319	C5	N
30	-0.223018526	C5	N
31	-0.157123076	C5	N
32	-0.161083344	C5	N
33	-0.093730871	C5	N
34	-0.22785667	C5	N
35	-0.163215912	C5	N
36	-0.292830311	C5	N
37	-0.09323895	C5	N
38	-0.099097783	C5	N
39	-0.029105053	C5	N
40	-0.163214961	C5	N
1	-0.110828537	C5	S9
2	-0.113248474	C5	S9
3	0.076002372	C5	S9
4	0.015217631	C5	S9
5	0.008738293	C5	S9
6	0.013290179	C5	S9
7	0.078161037	C5	S9
8	-0.04900344	C5	S9
9	0.209782478	C5	S9
10	0.006311425	C5	S9
11	0.141552757	C5	S9
12	0.078173994	C5	S9
13	0.206972649	C5	S9
14	-0.050658506	C5	S9
15	0.146335287	C5	S9
16	0.215067904	C5	S9
17	0.207669836	C5	S9
18	0.211799352	C5	S9
19	0.273649393	C5	S9
20	0.278661118	C5	S9
21	0.286368621	C5	S9
22	0.466311566	C5	S9
23	0.872838846	C5	S9
24	1.403769015	C5	S9
25	2.544300912	C5	S9
26	4.291211228	C5	S9
27	7.413274481	C5	S9
28	11.24762438	C5	S9
29	15.92814899	C5	S9
30	20.00194811	C5	S9
31	23.72700691	C5	S9
32	26.37678232	C5	S9
33	28.21910522	C5	S9
34	29.56876461	C5	S9
35	29.88783038	C5	S9
36	29.90060608	C5	S9
37	30.25192079	C5	S9
38	29.94478948	C5	S9
39	30.2432546	C5	S9
40	30.2223338	C5	S9
1	-0.369753306	D1	N
2	0.080855574	D1	N
3	-0.002766933	D1	N
4	-0.073152714	D1	N
5	-0.005030582	D1	N
6	9.47E-05	D1	N
7	-0.151544593	D1	N
8	0.00357224	D1	N
9	0.075446764	D1	N
10	0.067418414	D1	N
11	0.147781372	D1	N
12	0.074610715	D1	N
13	-0.002992806	D1	N
14	0.001368934	D1	N
